00:31::10 [init] system: 1 Online
00:31::53 same route
00:31::53 agv: 5 ,lenwigth:59585,nex:57013,lenwigthx:1499
00:31::53 same route
00:31::53 agv: 2 ,lenwigth:1500,nex:0,lenwigthx:57012
00:31::55 0length: 4498 ,0lengthx:61520.2,agv:2,agvx:5
00:31::56 0length: 61520.2 ,0lengthx:0,agv:5,agvx:2
00:31::56 0agv: 5 ,0reason:8
00:31::59 0length: 61520.2 ,0lengthx:0,agv:5,agvx:2
00:31::59 0agv: 5 ,0reason:8
00:32::20 0length: 8331.27 ,0lengthx:30226.6,agv:2,agvx:5
00:32::41 0length: 6431.27 ,0lengthx:13655.4,agv:2,agvx:5
00:32::43 0length: 4931.27 ,0lengthx:13655.4,agv:2,agvx:5
00:32::48 0length: 13655.4 ,0lengthx:3375.63,agv:5,agvx:2
00:32::48 0agv: 5 ,0reason:8
00:32::51 0length: 13655.4 ,0lengthx:3155.63,agv:5,agvx:2
00:32::51 0agv: 5 ,0reason:8
00:32::53 0length: 13655.4 ,0lengthx:1555.63,agv:5,agvx:2
00:32::53 0agv: 5 ,0reason:8
00:32::55 0length: 13655.4 ,0lengthx:0,agv:5,agvx:2
00:32::55 0agv: 5 ,0reason:8
00:32::57 0length: 13655.4 ,0lengthx:0,agv:5,agvx:2
00:32::57 0agv: 5 ,0reason:8
