10:59::44 [init] system: 1 Online
11:01::25 same route
11:01::25 agv: 2 ,lenwigth:1500,nex:0,lenwigthx:5855
11:01::25 agv: 1 ,reason:5
11:01::27 agv: 1 ,reason:5
11:01::29 0length: 4498 ,0lengthx:10353.6,agv:2,agvx:1
11:01::29 0length: 10353.6 ,0lengthx:0,agv:1,agvx:2
11:01::29 0agv: 1 ,0reason:8
11:01::31 0length: 10353.6 ,0lengthx:0,agv:1,agvx:2
11:01::31 0agv: 1 ,0reason:8
11:01::34 0length: 10353.6 ,0lengthx:0,agv:1,agvx:2
11:01::34 0agv: 1 ,0reason:8
11:01::36 0length: 10353.6 ,0lengthx:0,agv:1,agvx:2
11:01::36 0agv: 1 ,0reason:8
11:01::48 agv: 1 ,reason:5
11:01::51 agv: 1 ,reason:5
11:02::43 0length: 10951.3 ,0lengthx:3375.63,agv:1,agvx:2
11:02::43 0agv: 1 ,0reason:8
11:02::45 0length: 10951.3 ,0lengthx:3375.63,agv:1,agvx:2
11:02::45 0agv: 1 ,0reason:8
11:02::47 0length: 10951.3 ,0lengthx:3375.63,agv:1,agvx:2
11:02::47 0agv: 1 ,0reason:8
11:02::50 0length: 10951.3 ,0lengthx:3155.63,agv:1,agvx:2
11:02::50 0agv: 1 ,0reason:8
11:02::52 0length: 10951.3 ,0lengthx:1555.63,agv:1,agvx:2
11:02::52 0agv: 1 ,0reason:8
11:02::54 0length: 10951.3 ,0lengthx:1555.63,agv:1,agvx:2
11:02::54 0agv: 1 ,0reason:8
11:02::56 0length: 10951.3 ,0lengthx:0,agv:1,agvx:2
11:02::56 0agv: 1 ,0reason:8
11:02::58 0length: 10951.3 ,0lengthx:0,agv:1,agvx:2
11:02::58 0agv: 1 ,0reason:8
11:03::00 0length: 10951.3 ,0lengthx:0,agv:1,agvx:2
11:03::00 0agv: 1 ,0reason:8
